protein_name,short_name,gene_symbol,gene_ID,accession,pfam_ID,identifier,method,resolution,chain,sequence_length,positions
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2L75,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2LBM,NMR,N/A,A/C,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2LGG,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2M0O,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2NDF,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2NDG,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2OQ6,X-ray,2.0 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2OT7,X-ray,2.135 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2OX0,X-ray,1.95 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2RI7,X-ray,1.45 Å,A/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2RR4,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2UXN,X-ray,2.72 Å,A/B/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2V83,X-ray,2.4 Å,A/B/C/D/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2V85,X-ray,2.0 Å,A/B/D/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2V88,X-ray,2.0 Å,A/B/D/F,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2V89,X-ray,1.1 Å,A/B/D/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2VNF,X-ray,1.76 Å,A/C/B/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2VPG,X-ray,1.6 Å,A/C/B/D/P/R,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,2X0L,X-ray,3.0 Å,A/B/C,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3A1B,X-ray,2.292 Å,A,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AFA,X-ray,2.5 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3ASL,X-ray,1.41 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AVR,X-ray,1.803 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AYW,X-ray,2.9 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZE,X-ray,3.0 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZF,X-ray,2.7 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZG,X-ray,2.4 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZH,X-ray,3.49 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZI,X-ray,2.7 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZJ,X-ray,2.89 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZK,X-ray,3.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZL,X-ray,2.7 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZM,X-ray,2.89 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3AZN,X-ray,3.0 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3B95,X-ray,2.99 Å,A/B/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3FDT,X-ray,2.0 Å,A/T,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3KMT,X-ray,1.78 Å,A/B/C/G/H/I,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3KQI,X-ray,1.78 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3LQI,X-ray,1.92 Å,A/B/C/R/S/T,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3LQJ,X-ray,1.9 Å,A/B/Q/T,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3MP1,X-ray,2.6 Å,A/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3MP6,X-ray,1.48 Å,A/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3O34,X-ray,1.9 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3O35,X-ray,1.76 Å,A/B/D/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3O37,X-ray,2.0 Å,A/B/C/D/E/F/G/H,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3QJ6,X-ray,2.3 Å,A/T,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3QO2,X-ray,2.49 Å,A/B/C/D/P/Q/R/S,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3RIG,X-ray,2.0 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3RIY,X-ray,1.55 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3SOU,X-ray,1.8001 Å,A/B/D/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3SOW,X-ray,1.9501 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U31,X-ray,2.2 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U3D,X-ray,2.4 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U4S,X-ray,2.15 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U5N,X-ray,1.95 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U5O,X-ray,2.7 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/O/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3U5P,X-ray,2.8 Å,A/B/C/D/E/F/G/H/I/J/K/L/M/N/O/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3UEE,X-ray,2.61 Å,A/C/B/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3UEF,X-ray,2.45 Å,A/C/B/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3UIG,X-ray,2.4 Å,A/B/P/Q,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3UII,X-ray,2.6 Å,A/B/P/Q,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3UIK,X-ray,2.701 Å,A/B/P/Q,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3V43,X-ray,1.47 Å,A/Q,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3W96,X-ray,3.0 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3W97,X-ray,3.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3W98,X-ray,3.42 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3W99,X-ray,3.0 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3WA9,X-ray,3.07 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3WAA,X-ray,3.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3WKJ,X-ray,2.8 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3X1S,X-ray,2.805 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3X1T,X-ray,2.808 Å,I/J/A/E/B/F/C/G/D/H,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3X1U,X-ray,3.25 Å,I/J/A/E/B/F/C/G/D/H,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3X1V,X-ray,2.921 Å,I/J/A/E/B/F/C/G/D/H,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3ZG6,X-ray,2.2 Å,A/F,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,3ZVY,X-ray,1.95 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4A0J,X-ray,2.803 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4A0N,X-ray,2.743 Å,A/C,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4A7J,X-ray,1.9 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4BD3,NMR,N/A,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4C1Q,X-ray,2.3 Å,A/B/C,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4EZH,X-ray,2.52 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4F4U,X-ray,2.0 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4F56,X-ray,1.7 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4FT2,X-ray,3.2 Å,A/B/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4FWF,X-ray,2.7 Å,A/E,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4HON,X-ray,1.799 Å,A/B/F/G,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4I51,X-ray,1.9 Å,A/B/C/D/K,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4L7X,X-ray,1.35 Å,A/U,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4LK9,X-ray,1.6 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4LKA,X-ray,1.61 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4LLB,X-ray,2.5 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4LXL,X-ray,1.87 Å,A/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4N4H,X-ray,2.302 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4QBQ,X-ray,2.406 Å,A/C/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4QBR,X-ray,1.902 Å,A/C/E/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4QBS,X-ray,1.8 Å,A/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4TN7,X-ray,2.2 Å,A/C/B/D/E/F,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4UP0,X-ray,1.28 Å,A/F,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4UY4,X-ray,1.862 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4X3K,X-ray,1.45 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4Y6L,X-ray,1.6 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4YHP,X-ray,2.53 Å,P/Q/A/C/E/H/B/D/F/L,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4YHZ,X-ray,2.304 Å,H/L/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4YM5,X-ray,4.005 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4YM6,X-ray,3.514 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4Z0R,X-ray,1.75 Å,A/B/C/D,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,4Z2M,X-ray,2.981 Å,B/G/I/H/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AV5,X-ray,2.4 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AV6,X-ray,2.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AV8,X-ray,2.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AV9,X-ray,2.2 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AVB,X-ray,2.4 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5AVC,X-ray,2.4 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5B24,X-ray,3.6 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5B2I,X-ray,3.0 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5B2J,X-ray,2.6 Å,A/E/B/F/C/G/D/H/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5B31,X-ray,2.2 Å,A/E/B/F/C/D/H/G/I/J,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5C11,X-ray,2.803 Å,A/B,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5C13,X-ray,2.101 Å,A/C/E/G/D/F/H/P,136,1-136
Histone H3.1,N/A,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,ENST00000356476.3,P68431,PF00125,5C3I,X-ray,3.5 Å,A/E/I/M/Q/U/B/F/J/N/R/V/C/G/K/O/S/W/D/H/L/P/T/X,136,1-136
